Name,1,2,3,4,5,6,7
Urakaze,0,0,0,0,0,71,224
Tanikaze,0,0,0,0,39,106,147
Mikazuki,56,67,86,98,112,125,143
Naganami,36,73,98,132,155,173,202
Hatsushimo,48,87,117,153,173,189,212
Arashio,99,127,156,180,204,219,251
Wakaba,113,143,175,194,206,221,235
Ooshio,112,134,165,189,206,230,245
Yuugumo,79,120,148,177,211,232,285
Akigumo,76,120,154,179,216,244,292
Isonami,114,151,179,202,225,256,278
Kizuzuki,96,131,181,212,246,272,333
Kisaragi,90,125,161,213,255,284,322
Kasumi,149,182,224,254,271,295,312
Michishio,141,171,200,245,273,309,344
Fumizuki,155,184,214,237,291,313,350
Maikaze,177,170,203,254,285,314,366
Oboro,149,187,222,257,299,326,375
Hatsukaze,124,172,210,233,276,332,392
Ayanami,143,192,221,269,311,350,452
Z3,0,0,0,162,295,388,433
Nagatsuki,191,225,284,328,358,395,454
Shirayuki,148,194,254,299,394,408,464
Shikinami,178,261,296,342,381,423,472
Suzukaze,234,275,329,359,382,440,489
Miyuki,198,247,288,347,389,443,522
Kuroshio,172,225,287,347,397,452,520
Murasame,142,204,280,368,424,458,487
Shigure Kai 2,0,0,295,361,419,463,516
Mutsuki,211,270,330,387,437,466,496
Makigumo,180,266,343,407,459,500,550
Nenohi,211,270,318,396,444,502,568
Mochizuki,226,287,345,388,455,517,582
Uzuki,0,51,190,285,457,524,628
Hatsuharu,284,350,391,453,491,528,570
Shiratsuyu,236,306,380,418,467,533,589
Yayoi,0,59,218,395,477,538,639
Akebono,224,275,356,427,486,562,626
Verniy,265,327,393,460,502,568,651
Z1,0,0,0,300,504,623,694
Kagerou,242,321,405,495,572,651,750
Asashio,360,427,511,560,608,677,731
Hamakaze,0,0,0,193,626,815,996
Satsuki,389,457,552,642,730,840,941
Hatsuyuki,387,498,607,709,798,932,1058
Yuudachi Kai 2,0,0,868,985,1045,1132,1244
Sazanami,556,670,821,908,1046,1136,1272
Samidare,612,748,884,990,1072,1215,1349
Amatsukaze,0,0,0,0,445,1313,1796
Murakumo,719,883,1048,1223,1366,1535,1683
Fubuki,553,697,900,1138,1334,1540,1771
Shiranui,764,1055,1390,1728,1994,2194,2495
Ushio,1173,1536,1717,1981,2229,2463,2694
Yuudachi,972,1384,1776,2119,2331,2463,2958
Akatsuki,1390,1705,1977,2289,2462,2703,2913
Shigure,1162,1597,1995,2353,2641,2926,3304
Yukikaze,1458,1819,2112,2470,2744,3004,3296
Hibiki,1770,2127,2455,2812,3068,3314,3606
Ikazuchi,3027,4041,4533,5052,5691,5921,6322
Inazuma,3915,4569,5117,5649,6025,6449,6900
Shimakaze,9298,10596,11402,12223,12959,13739,14482
Ayanami Kai 2,0,0,0,0,0,0,23
Jintsuu Kai 2,0,0,50,78,95,105,123
Sakawa,0,0,0,0,31,124,170
Naka Kai 2,0,0,135,143,149,152,162
Natori,71,86,106,136,145,158,180
Nagara,127,154,183,214,240,273,299
Kinu,137,179,247,280,316,335,357
Noshiro,161,220,279,335,374,425,466
Yura,194,252,302,356,413,456,517
Kiso Kai 2,0,0,331,385,444,478,534
Agano,138,211,299,382,439,575,775
Yahagi,150,234,327,437,535,616,680
Abukuma,324,402,478,533,603,635,708
Jintsuu,224,285,420,529,595,653,766
Isuzu,405,465,536,592,655,706,752
Tama,392,471,560,628,683,735,812
Sendai,426,518,624,730,838,929,1336
Kuma,739,899,1039,1160,1256,1373,1464
Yuubari,921,1103,1254,1487,1670,1862,2059
Kiso,759,1077,1392,1635,1841,2011,2211
Ooi,1115,1394,1643,1869,2047,2172,2362
Naka,1574,1992,2231,2397,2508,2614,2784
Kitakami,2306,2800,3225,3597,3893,4133,4364
Tatsuta,2732,3177,3567,3842,4026,4154,4366
Tenryuu,5554,6440,7173,7789,8209,8562,9008
Sendai Kai 2,0,0,0,0,0,0,165
Chikuma,121,147,171,192,239,285,351
Mikuma,121,195,245,306,363,393,446
Kako,249,308,346,365,409,455,477
Kinugasa,146,221,295,351,424,478,527
Choukai,278,353,417,484,566,628,700
Tone,214,268,320,369,508,650,745
Furutaka,312,391,483,542,615,698,782
Nachi,413,475,555,629,680,740,827
Myoukou,364,412,474,538,665,745,914
Ashigara,424,475,630,707,787,856,912
Haguro,568,653,753,833,895,1029,1101
Mogami,510,607,703,832,940,1033,1140
Aoba,424,554,692,835,994,1100,1231
Maya,428,575,707,830,967,1109,1241
Kumano,375,529,687,868,1033,1178,1316
Takao,846,993,1106,1235,1346,1461,1581
Suzuya,487,736,975,1221,1455,1645,1873
Atago,1935,2217,2461,2648,2865,3035,3266
Bismarck,0,0,0,298,471,583,700
Ise,343,445,530,623,719,812,913
Musashi,314,467,579,671,747,811,861
Yamashiro,396,511,592,690,767,866,992
Hyuuga,387,513,629,758,879,1005,1115
Fusou,526,650,745,853,929,1029,1135
Yamato,623,887,1140,1320,1545,1711,1919
Mutsu,1024,1313,1511,1707,1918,2106,2315
Kirishima,1314,1538,1696,1931,2141,2353,2558
Hiei,1392,1718,2003,2251,2486,2733,2953
Nagato,1575,1958,2222,2511,2801,3081,3356
Haruna,1881,2250,2541,2838,3158,3388,3705
Kongou,5329,6310,7010,7696,8256,8792,9419
Chiyoda,167,190,210,245,270,282,295
Shouhou,172,204,250,290,321,340,380
Chitose ,213,252,300,344,377,412,458
Hiyou,174,226,281,347,376,426,477
Junyou,374,475,572,659,742,833,964
Hiryuu,414,527,642,759,872,953,1239
Houshou,412,563,693,779,879,985,1061
Souryuu,412,531,639,765,876,997,1160
Taihou,146,602,785,989,1141,1300,1414
Zuihou,694,915,1057,1200,1335,1466,1581
Shoukaku,744,930,1101,1284,1437,1537,1698
Zuikaku,775,946,1116,1315,1498,1636,1854
Ryuujou,1128,1399,1629,1889,2202,2537,2860
Akagi,3414,4113,4717,5247,5683,6095,6542
Kaga,3130,4052,4848,5619,6279,6845,7485
Taigei,0,0,0,0,0,0,417
Ryuuhou,0,0,0,0,0,0,135
I-401,52,185,259,354,405,509,596
I-8,171,239,344,459,544,623,743
